image_id,caption,caption_nepali
39.jpg,Launching a big ship in the water,पानीमा ठूलो जहाज लन्च गर्दै
40.jpg,People fishing in the sea,समुन्द्रमा माछा मार्ने मान्छे
41.jpg,Dog wearing a blanket,कम्बल लगाएको कुकुर
42.jpg,People enjoying the rain,वर्षाको रमाइलो गर्दै मानिसहरु
43.jpg,A man happily riding his bicycle,एक मानिस खुसीसाथ आफ्नो साइकल चलाउँदै
44.jpg,Mother carrying her baby,आफ्नो बच्चा बोकेकी आमा
45.jpg,A girl playing her guitar on the street,एउटी केटी सडकमा आफ्नो गितार बजाउँदै
46.jpg,Crow stealing food from a dogs bowl,काग कुकुरको कचौराबाट खाना चोर्दै
47.jpg,An airplane in the middle of the jungle,जंगलको बीचमा एउटा हवाईजहाज
48.jpg,Alligator walking on a golf course,एलीगेटर गोल्फ कोर्समा हिड्दै
49.jpg,A girl lying on the floor in a room,कोठामा भुइँमा सुतेकी केटी
50.jpg,Three chickens standing at the window,तीनवटा कुखुरा झ्यालमा उभिरहेका छन्
51.jpeg,A baby eating a big cookie wearing a blue jacket and orange sleeves,निलो ज्याकेट र सुन्तला बाहुला लगाएर ठूलो कुकी खाइरहेको बच्चा
52.jpeg,A lone tree standing by the seaside under a blue sky,निलो आकाशमुनि समुन्द्रको छेउमा उभिएको एक्लो रुख
53.jpeg,A person with a camera taking photos during a golden sunset,सुनौलो सूर्यास्तको समयमा फोटो खिच्दै क्यामेरा भएको व्यक्ति
54.jpeg,A little girl smiling against a bright blue background,चम्किलो नीलो पृष्ठभूमिमा मुस्कुराउँदै एउटा सानो केटी
55.jpeg,A cheesy burger with fries and a drink,फ्राइज र पेयको साथ चिज बर्गर
56.jpeg,A beautiful purple flower,एक सुन्दर बैजनी फूल
57.jpeg,Three children standing with serious expressions,गम्भीर अभिव्यक्ति लिएर उभिएका तीन बालबालिका
58.jpeg,"The king of the jungle, a lion, resting in its territory","जंगलको राजा, सिंह, आफ्नो इलाकामा आराम गर्दै"
59.jpeg,Two small children holding hands and smiling as the sun sets,दुई साना केटाकेटीहरू हात समातेर घाम अस्ताउँदा मुस्कुराउँदै
60.jpeg,An airplane flying in the sky,आकाशमा उडिरहेको हवाइजहाज
61.jpeg,A man riding a bike on the street,सडकमा मोटरसाइकल चलाउँदै गरेको मान्छे
62.jpeg,A dog smiling at the camera,क्यामेरा हेरेर मुस्कुराएको कुकुर
63.jpeg,A man washing his hands at a tap,ट्यापमा हात धुँदै गरेको मान्छे
64.jpeg,Two men dressed as Spiderman,स्पाइडरम्यानको लुगा लगाएका दुई पुरुष
65.jpeg,A red car speeding on the road,बाटोमा तीव्र गतिमा गुडिरहेको रातो कार
66.jpeg,An orange cat looking at the camera,एक सुन्तला बिरालो क्यामेरा हेर्दै
67.jpeg,An old house between trees in a field,खेतमा रूखहरू बीचको पुरानो घर
68.jpeg,A tiger looking at the camera,क्यामेरा हेर्दै बाघ
69.jpeg,A male peacock with beautiful feather,सुन्दर प्वाँख भएको नर मयूर
70.jpeg,A girl holding a dogs paw,एक केटी कुकुरको पन्जा समात्दै
71.jpeg,A chair inside a dark warehouse,अँध्यारो गोदाम भित्र एउटा कुर्सी
72.jpeg,A digital image showing the solar system,सौर्य प्रणाली देखाउने डिजिटल छवि
73.jpeg,A beautiful view of the Taj Mahal,ताजमहलको सुन्दर दृश्य
74.jpeg,An open book on the floor,भुइँमा खुला किताब
75.jpeg,A man showing his money,एक व्यक्ति आफ्नो पैसा देखाउँदै
76.jpeg,A dog playing in the river,खोलामा खेलिरहेको कुकुर
77.jpeg,A sunrise view behind a coconut tree,नरिवलको रूख पछाडि सूर्योदय दृश्य
78.jpeg,A bird standing on a tree branch,रुखको हाँगामा उभिएको चरा
79.jpeg,Various types of fruits on a table,टेबलमा विभिन्न प्रकारका फलफूलहरू
80.jpeg,A beautiful view of a mountain peak,हिमाल चुचुरोको सुन्दर दृश्य
